Fid,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
10.42.0.211-66.198.24.225-47607-80-6,Andaman and Nicobar Islands,NICOBARS,2018,Kharif     ,Arecanut,1254,2018
10.42.0.42-104.244.42.194-45060-443-6,Andaman and Nicobar Islands,NICOBARS,2018,Kharif     ,Other Kharif pulses,2,1
10.42.0.211-64.71.142.124-43032-443-6,Andaman and Nicobar Islands,NICOBARS,2018,Kharif     ,Rice,102,321
219.142.78.162-10.42.0.211-443-59392-6,Andaman and Nicobar Islands,NICOBARS,2018,Whole Year ,Banana,176,641
239.255.255.250-10.42.0.1-1900-48870-17,Andaman and Nicobar Islands,NICOBARS,2018,Whole Year ,Cashewnut,720,165
10.42.0.151-10.42.0.1-19491-53-17,Andaman and Nicobar Islands,NICOBARS,2018,Whole Year ,Coconut ,18168,65100000
172.217.10.42-10.42.0.151-443-51709-6,Andaman and Nicobar Islands,NICOBARS,2018,Whole Year ,Dry ginger,36,100
10.42.0.151-31.13.71.52-40317-443-6,Andaman and Nicobar Islands,NICOBARS,2018,Whole Year ,Sugarcane,1,2
172.217.6.206-10.42.0.151-443-47047-6,Andaman and Nicobar Islands,NICOBARS,2018,Whole Year ,Sweet potato,5,15
175.100.207.233-10.42.0.211-80-52004-6,Andaman and Nicobar Islands,NICOBARS,2018,Whole Year ,Tapioca,40,169
10.42.0.211-31.13.80.8-41068-443-6,Andaman and Nicobar Islands,NICOBARS,2017,Kharif     ,Arecanut,1254,2061
172.217.6.206-10.42.0.211-443-55520-6,Andaman and Nicobar Islands,NICOBARS,2017,Kharif     ,Other Kharif pulses,2,1
180.76.152.13-10.42.0.151-80-51436-6,Andaman and Nicobar Islands,NICOBARS,2017,Kharif     ,Rice,83,300
172.217.12.142-10.42.0.151-443-60387-6,Andaman and Nicobar Islands,NICOBARS,2017,Whole Year ,Cashewnut,719,192
172.217.12.193-10.42.0.42-443-50794-6,Andaman and Nicobar Islands,NICOBARS,2017,Whole Year ,Coconut ,18190,64430000
10.42.0.211-66.102.255.40-51278-443-6,Andaman and Nicobar Islands,NICOBARS,2017,Whole Year ,Dry ginger,46,100
10.42.0.42-54.239.17.113-40091-443-6,Andaman and Nicobar Islands,NICOBARS,2017,Whole Year ,Sugarcane,1,1
10.42.0.211-50.17.234.37-44916-443-6,Andaman and Nicobar Islands,NICOBARS,2017,Whole Year ,Sweet potato,11,33
10.42.0.42-64.71.142.95-54395-80-6,Andaman and Nicobar Islands,NICOBARS,2002,Kharif     ,Rice,189.2,510.84
220.170.182.31-10.42.0.211-443-39016-6,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Arecanut,1258,2083
216.58.219.238-10.42.0.211-443-42887-6,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Banana,213,1278
10.42.0.211-10.42.0.1-36805-53-17,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Black pepper,63,13.5
10.42.0.151-112.80.248.187-49964-80-6,Andhra Pradesh,ANANTAPUR,2019,Rabi       ,Maize,600,2400
10.42.0.211-13.107.3.128-60412-443-6,Andhra Pradesh,ANANTAPUR,2019,Rabi       ,Ragi,600,1000
10.42.0.151-52.84.134.65-51799-443-6,Andhra Pradesh,ANANTAPUR,2019,Rabi       ,Rice,18000,37300
